10047461	0	T15,T16,T61,T62,T63
10047461	1	T1,T12,T14,T50
10047461	2	T9,T10,T46
10047461	3	T11,T47,T48,T49
10047461	4	T51,T52,T53
10047461	5	T13,T54,T55,T56,T57
10047461	6	T58,T59,T60
10047461	7	T17,T18,T19,T20,T21
10047461	8	T22,T23
10047461	9	T24,T25,T26
10047461	10	T27,T28,T29
10047461	11	T2,T3,T30,T31,T32,T33,T34
10047461	12	T4
10047461	13	T5
10047461	14	T35,T36
10047461	15	T6,T7,T37,T38,T39,T40,T41
10047461	16	T42,T43,T44
10047461	17	T8,T45
10095983	0	T11
10095983	7	T7,T10
10095983	9	T1,T2,T8
10095983	10	T3,T4
10095983	11	T5,T6,T9
10200320	0	T17,T18,T19,T36
10200320	2	T7
10200320	3	T8
10200320	4	T9,T30,T31,T32
10200320	5	T10,T11,T33
10200320	6	T12,T13,T14
10200320	7	T15,T34,T35
10200320	8	T1,T2,T3,T16,T20,T21,T22,T23,T24,T25
10200320	9	T4,T5,T26,T27,T28,T29
10200320	10	T6
10207608	0	T14,T15,T29,T30,T31
10207608	1	T16,T19,T26
10207608	2	T1,T2,T3,T4,T18,T20,T21
10207608	3	T5,T6,T7,T22
10207608	4	T8,T9,T23
10207608	5	T10,T11,T24,T25
10207608	6	T12,T13,T27,T28
10207608	7	T17
10225363	0	T25,T26,T27
10225363	1	T8
10225363	2	T15,T16,T17
10225363	3	T1,T2,T18,T19
10225363	4	T3,T4,T20
10225363	5	T5,T6,T7,T21
10225363	6	T9,T10,T11,T22
10225363	7	T12,T13,T23,T24
10225363	8	T14
10328230	0	T15,T16,T24,T25
10328230	1	T1,T4,T13,T14,T17,T20,T21
10328230	2	T7,T8
10328230	3	T9,T22
10328230	4	T10,T23
10328230	5	T11,T12
10328230	7	T2,T3
10328230	8	T18
10328230	9	T5,T6,T19
10340919	0	T28,T29,T30
10340919	1	T24,T31,T32,T37,T38
10340919	2	T12,T13,T35
10340919	3	T14,T15,T16,T17,T18,T19,T36
10340919	4	T20
10340919	5	T1,T21,T22,T23,T25,T26,T27
10340919	6	T2,T3
10340919	7	T4,T5
10340919	8	T6,T7
10340919	9	T8,T9,T10
10340919	10	T11,T33
10340919	11	T34
10373451	0	T20,T21,T36,T37
10373451	1	T23,T27,T30
10373451	2	T1,T2,T3,T4,T5,T26,T28
10373451	3	T6,T7,T8,T9,T29
10373451	4	T10,T11,T12,T31
10373451	5	T13,T14,T15,T16
10373451	6	T17,T18,T19,T32,T33,T34
10373451	7	T35
10373451	8	T22
10373451	9	T24,T25
10381000	0	T7,T16
10381000	1	T1,T2
10381000	2	T3,T4,T8,T9
10381000	3	T10,T11
10381000	4	T5,T6,T12,T13,T14
10381000	5	T15
10398211	0	T14,T15,T25
10398211	1	T6,T9,T12,T21,T23
10398211	2	T5,T20
10398211	3	T7,T22
10398211	4	T8
10398211	6	T10
10398211	7	T11
10398211	8	T1,T2,T13,T16,T24
10398211	9	T3,T17,T18
10398211	10	T4,T19
10401556	0	T45
10401556	1	T22,T34,T36,T37
10401556	3	T10,T11,T12,T13,T14,T15
10401556	4	T16,T38,T39
10401556	6	T17,T18,T19,T40,T41
10401556	7	T1,T20,T21,T23,T24,T25,T26,T42,T43,T44
10401556	9	T2,T3,T4
10401556	11	T5,T6,T27
10401556	13	T7,T8,T28,T29
10401556	15	T9,T30,T31
10401556	16	T32,T33
10401556	17	T35
10403635	0	T35,T36,T37,T38,T54
10403635	1	T16,T20,T40,T42
10403635	2	T21,T22,T23,T24,T25,T49,T50
10403635	3	T26
10403635	4	T27,T28,T29,T30,T31,T51
10403635	5	T32,T52
10403635	6	T33,T53
10403635	7	T34,T39
10403635	8	T1,T2,T3
10403635	9	T4,T5
10403635	10	T6,T7
10403635	11	T8,T9,T41,T43
10403635	12	T10,T11,T44,T45
10403635	13	T12,T13,T46
10403635	14	T14,T47
10403635	15	T15,T17,T48
10403635	16	T18,T19
10406837	0	T13,T14,T24
10406837	1	T1
10406837	3	T10,T19,T20
10406837	4	T11,T12,T21
10406837	5	T22
10406837	6	T2,T23
10406837	7	T3,T15
10406837	8	T4,T5,T16
10406837	9	T6,T17
10406837	10	T7,T8,T18
10406837	11	T9
10411647	0	T21,T22,T29
10411647	1	T14,T25,T28
10411647	2	T8,T11
10411647	3	T13
10411647	4	T15,T16,T26
10411647	5	T17,T18,T27
10411647	6	T1,T19,T20
10411647	7	T2,T3
10411647	9	T4
10411647	10	T5,T6,T7,T23
10411647	12	T9
10411647	13	T10,T12,T24
10434156	0	T8
10434156	1	T1,T2,T6,T7
10434156	3	T3,T4,T5
10434156	4	T9,T10
10443304	4	T5,T8,T9
10443304	5	T6,T10
10443304	6	T7,T11
10443304	12	T1,T2,T3
10443304	14	T4
10444166	1	T3,T4,T5,T6
10444166	4	T7,T8,T15,T16
10444166	5	T9,T10,T17
10444166	6	T11,T12,T18,T19
10444166	7	T1,T2
10444166	8	T13
10444166	9	T14
10446934	0	T28,T48,T49,T50,T51
10446934	1	T29,T47
10446934	2	T17,T40,T43,T44
10446934	3	T20,T21,T22,T45,T46
10446934	4	T23,T24
10446934	6	T25,T26
10446934	7	T1,T27
10446934	8	T2
10446934	9	T3,T4
10446934	10	T5,T6
10446934	11	T7
10446934	12	T8,T9,T30,T31,T32,T33
10446934	13	T10,T11,T12,T34
10446934	14	T13,T14,T35,T36
10446934	15	T15,T16,T37,T38
10446934	17	T18,T19,T39,T41,T42
10462128	0	T28,T29,T30,T37
10462128	1	T1,T12,T13,T15
10462128	2	T14,T35
10462128	3	T16,T17,T18,T19
10462128	4	T20,T21,T22
10462128	5	T23,T24,T25,T26,T27,T36
10462128	6	T2
10462128	7	T3,T4,T5,T6,T7,T31,T32
10462128	8	T8,T9,T10,T33,T34
10462128	9	T11
10480573	0	T7,T8,T14
10480573	1	T1,T3,T4
10480573	4	T5
10480573	7	T6,T10,T11,T12
10480573	8	T2,T9,T13
10493852	0	T3,T14,T15
10493852	1	T6,T7,T13
10493852	2	T1,T2,T4,T5
10493852	3	T8,T9
10493852	4	T10,T11
10493852	5	T12
10522750	0	T23,T39
10522750	1	T29,T35
10522750	2	T5,T6,T7,T8,T9,T30,T31
10522750	3	T10,T11,T12,T13,T32,T33
10522750	4	T14,T15,T16,T34,T36
10522750	5	T17,T18,T19,T20,T37
10522750	6	T21,T22
10522750	7	T24,T25,T38
10522750	8	T1,T2,T3,T26
10522750	9	T4,T27
10522750	10	T28
10530931	0	T4,T5,T11
10530931	1	T1,T3,T6
10530931	2	T7,T8
10530931	3	T9
10530931	4	T2,T10
10561751	0	T11,T24
10561751	1	T1,T2,T12
10561751	2	T3,T13,T14
10561751	3	T4,T5,T6,T7,T15,T16,T17,T18,T19,T20
10561751	4	T8,T9,T21,T22
10561751	5	T10,T23
10583449	0	T22
10583449	1	T1,T3,T8,T17,T18
10583449	2	T10,T11,T12,T19,T20,T21
10583449	3	T13,T14,T15
10583449	5	T16
10583449	6	T2,T4
10583449	7	T5,T6
10583449	8	T7
10583449	9	T9
10606746	0	T18,T25
10606746	1	T1,T2
10606746	3	T19,T20
10606746	4	T3,T4,T5,T6,T7,T21,T22,T23
10606746	5	T8,T9,T10,T11
10606746	6	T12,T13,T14
10606746	7	T15,T16,T17
10606746	8	T24
10617684	0	T20,T21,T31
10617684	1	T1,T4,T8,T9,T12,T24,T27
10617684	2	T10,T11
10617684	3	T13,T14,T15,T16,T17,T25
10617684	4	T18,T26
10617684	5	T19,T28
10617684	6	T29
10617684	7	T2,T3,T30
10617684	8	T22
10617684	9	T5,T6,T23
10617684	10	T7
10626810	1	T31,T32,T41
10626810	2	T14,T21
10626810	3	T22,T33,T34
10626810	4	T35,T36
10626810	5	T23,T24,T25,T26,T27,T37,T38,T39,T40
10626810	6	T28,T29,T30
10626810	9	T1,T2,T3,T4,T5,T6
10626810	10	T7,T8,T9,T10,T11,T12
10626810	11	T13
10626810	12	T15,T16,T17,T18,T19,T20
10626836	0	T15,T16,T31,T32
10626836	1	T3,T8,T9,T10,T11,T23,T24,T25,T27
10626836	2	T12,T13,T26,T28
10626836	3	T1,T2,T14,T17,T18,T29,T30
