10025684	T1	CHEMICAL	187	202	methylphenidate
10025684	T2	CHEMICAL	513	528	methylphenidate
10025684	T3	GENE-N	149	152	DAT
10025684	T4	GENE-N	572	575	DAT
10027835	T1	CHEMICAL	1216	1231	tranylcypromine
10027835	T2	CHEMICAL	1708	1723	tranylcypromine
10027835	T3	GENE-N	834	839	MAO-A
10027835	T4	GENE-N	1671	1676	MAO-A
10027842	T1	CHEMICAL	525	534	cisapride
10027842	T2	CHEMICAL	667	676	cisapride
10027842	T3	CHEMICAL	1802	1811	cisapride
10027842	T4	GENE-N	281	286	5-HT4
10027842	T5	GENE-N	697	702	5-HT4
10027842	T6	GENE-N	1897	1902	5-HT4
10027850	T1	CHEMICAL	751	760	buspirone
10027850	T2	CHEMICAL	1762	1771	buspirone
10027850	T3	CHEMICAL	2330	2339	buspirone
10027850	T4	GENE-N	367	373	5-HT1A
10027850	T5	GENE-N	1412	1418	5-HT1A
10027850	T6	GENE-N	2246	2252	5-HT1A
10028924	T1	CHEMICAL	69	78	quinidine
10028924	T2	CHEMICAL	1281	1290	Quinidine
10028924	T3	CHEMICAL	1955	1964	quinidine
10028924	T4	GENE-N	14	18	HERG
10028924	T5	GENE-N	1312	1316	HERG
10028924	T6	GENE-N	1931	1935	HERG
10037500	T1	CHEMICAL	143	158	Methylphenidate
10037500	T2	GENE-N	235	238	DAT
10051426	T1	CHEMICAL	36	45	amlexanox
10051426	T2	CHEMICAL	1348	1357	amlexanox
10051426	T3	GENE-N	79	86	S100A12
10051426	T4	GENE-N	91	98	S100A13
10051426	T5	GENE-N	1284	1291	S100A12
10051426	T6	GENE-N	1320	1327	S100A13
10052979	T1	CHEMICAL	168	177	minaprine
10052979	T2	CHEMICAL	416	425	minaprine
10052979	T3	CHEMICAL	976	985	minaprine
10052979	T4	GENE-N	139	143	AChE
10052979	T5	GENE-N	458	462	AChE
10052979	T6	GENE-N	837	841	AChE
10064829	T1	CHEMICAL	161	170	buspirone
10064829	T2	CHEMICAL	2281	2290	buspirone
10064829	T3	GENE-N	269	275	5-HT1A
10064829	T4	GENE-N	2298	2304	5-HT1A
10067800	T1	CHEMICAL	23	34	telmisartan
10067800	T2	CHEMICAL	251	262	telmisartan
10067800	T3	GENE-N	48	51	AT1
10067800	T4	GENE-N	226	229	AT1
10068594	T1	CHEMICAL	220	229	proguanil
10068594	T2	GENE-N	177	181	dhfr
10069682	T1	CHEMICAL	600	610	irbesartan
10069682	T2	GENE-N	615	619	AT1R
10073743	T1	CHEMICAL	134	145	Sumatriptan
10073743	T2	GENE-N	206	212	5-HT1F
